repo_id,commits,label_name,committer_count,committer_time,issues,pull_requests,releases
191158,115341,incubating,237,23.0,1767,3840,100.0
191159,9940,incubating,195,42.0,1189,1904,76.0
191160,21150,incubating,155,54.0,1573,3398,102.0
191161,15257,incubating,185,44.0,1576,2584,69.0
191163,2538,incubating,99,35.0,6658,1188,104.0
191164,87025,incubating,420,87.0,3270,3375,104.0
191165,18160,incubating,91,4.0,695,1002,9.0
191166,25603,incubating,185,44.0,1450,3016,91.0
191167,17420,incubating,593,145.0,2617,4251,100.0
191168,27222,incubating,130,44.0,813,1281,87.0
191169,1505,incubating,33,2.0,151,117,1.0
191170,274894,incubating,893,173.0,11194,24710,102.0
191171,2344,incubating,125,24.0,470,785,7.0
191172,36026,incubating,440,117.0,3996,5042,68.0
191173,29569,incubating,220,73.0,1968,4266,101.0
191174,38645,incubating,262,91.0,3412,4037,103.0
191175,4206,incubating,42,16.0,161,556,28.0
191176,23787,incubating,200,109.0,2039,3215,92.0
191177,3916,incubating,164,20.0,383,687,20.0
123948,1142461,grads,3891,631.0,44910,78947,155.0
139311,96323,grads,333,81.0,11039,8886,116.0
165414,67209,grads,915,149.0,6504,10819,102.0
165440,36942,grads,338,94.0,3802,7787,104.0
165470,177000,grads,1121,324.0,10871,22297,101.0
165501,210869,grads,1011,243.0,19081,30722,104.0
191124,10673,grads,145,47.0,1266,1546,100.0
191125,82524,grads,620,165.0,2330,7161,103.0
191126,13582,grads,318,84.0,1801,3083,77.0
191128,58417,grads,897,204.0,5486,7901,106.0
191129,12514,grads,88,22.0,846,1735,30.0
191131,145619,grads,404,97.0,3674,11895,104.0
191133,67996,grads,426,133.0,2492,4144,102.0
191134,25941,grads,170,61.0,1373,3653,100.0
191135,48267,grads,403,81.0,4902,11825,102.0
191136,872,grads,48,10.0,61,214,0.0
191137,98718,grads,371,69.0,2237,4183,68.0
191138,22183,grads,701,90.0,7587,5251,101.0
191139,145844,grads,310,92.0,1356,6552,100.0
191140,11195,grads,245,12.0,2079,1955,12.0
191141,185263,grads,760,369.0,9103,22485,107.0
191142,31586,grads,1257,591.0,7384,8467,112.0
191143,45332,grads,337,145.0,2046,2783,36.0
